relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid	resource
GNBR::J::Gene:Disease	long COVID	Disease	MONDO:0100233	TLR7	Gene	ENTREZ:51284	Sex-related differences in the innate immune system may also be involved, including the fact that the gene encoding TLR7, which activates the IFN-I antiviral response, a key defense against SARS-CoV-2.	35912863	CustomDB
Hetionet::DrD::Disease:Disease	SARS Virus	Disease	MONDO:0005091	long COVID	Disease	MONDO:0100233	 Given the findings of comparable symptoms, hemodynamic, and cerebral blood flow abnormalities in long-haul COVID-19 and ME/CFS patients, our data support the notion that SARS-CoV-2 infection acts as a trigger for the development of ME/CFS in long-haul COVID-19 patients.	35056336	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Indomethacin	Compound	DrugBank:DB00328	Indomethacin(50  mg, BID) is effective in patients with long COVID headache.	35915417	CustomDB
GNBR::Pr::Compound:Disease	long COVID	Disease	MONDO:0100233	Recombinant Human Angiotensin-Converting Enzyme 2	Compound	DrugBank:DB15736	Protective factors for long COVID in children include reduced angiotensin-converting enzyme 2(ACE2) receptor expression.	35739136	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	palpitation	Phenotype	SYMP:0000530	Long-COVID-19 syndrome was characterized by a combination of non-specific symptoms, especially chest pain and palpitations.	35647070	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Etanercept	Compound	DrugBank:DB00005	Etanercept has already been proposed as an argument for reversing the neurological aspects of long COVID-1962 and post-cerebral malaria cognitive impairment.	35174650	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Hypoxia	Disease	MESH:D000860	Long-COVID pathogenesis may be explained by the combined effect of chronic hypoxia.	35449732	CustomDB
GNBR::X::Gene:Disease	bioactive 2-5A synthetase	Gene	ENTREZ:4938	CFS	Disease	MONDO:0005404	The 2-5A synthetase/RNase L pathway in CFS patients appears to be both up-regulated (i.e. increased levels of bioactive 2-5A synthetase and increased activity of the RNase L enzyme) and deregulated (elastase and calpain initiate 83 kDa RNase L proteolysis, generating two major fragments with molecular masses of 37 and 30 kDa, respectively).	16277015	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Epiglottitis	Disease	MONDO:0005753	Chronic epipharyngitis/epiglottitis is frequently present in patients with long COVID.	35632649	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Asthma	Disease	MONDO:0004979	The relationship between asthma and long COVID (LC28) deserves further investigation	33692530	CustomDB
Hetionet::DuG::Disease:Gene	aconitate hydratase (ACON)	Gene	ENTREZ:48	Chronic fatigue syndrome (CFS)	Disease	MONDO:0005404	Results for ATPB and ACON confirmed their upregulation in CFS.	27676445	CustomDB
GNBR::J::Compound:Disease	long COVID	Disease	MONDO:0100233	Inhibitor of P38 Kinase	Compound	DrugBank:DB01953	Here, we propose a description of the pathophysiology of the Long COVID presentation based on inflammatory cytokine cascades and the p38 MAP kinase signaling pathways that regulate cytokine production.	37064029	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Melatonin	Compound	DrugBank:DB01065	Melatonin may be particularly effective at reducing the signs and symptoms of SARS-CoV-2 infection due to its functions as an antioxidant, anti-inflammatory, and immuno-modulatory agent.	36358996	CustomDB
Hetionet::DaG::Disease:Gene	chronic fatigue syndrome	Disease	MONDO:0005404	SLC6A11	Gene	ENTREZ:6538	Combinatorial analysis revealed 199 SNPs mapping to 14 genes that were significantly associated with 91% of the cases in the ME/CFS population.	36517845	CustomDB
Hetionet::DpS::Disease:Phenotype	chronic fatigue syndrome	Disease	MONDO:0005404	palpitation	Phenotype	SYMP:0000530	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Luteolin	Compound	DrugBank:DB15584	These processes could be mitigated by phytosomal formulation (in olive pomace oil) of the natural flavonoid luteolin.	33847020	CustomDB
GNBR::Md::Gene:Disease	IFN-γ	Gene	ENTREZ:3458	ME/CFS	Disease	MONDO:0005404	Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α.	28760971	CustomDB
HSDN::has_symptom:Disease:Phenotype	shortness of breath	Phenotype	SYMP:0019153	long COVID	Disease	MONDO:0100233	Among the reported symptoms, 59% of patients experienced fatigue or lethargy, 48.9% reported decreased stamina, 32.6% reported shortness of breath, 16.8% had a persistent cough, and 23.7% experienced anxiety following recovery from COVID-19.	37128534	CustomDB
GNBR::Md::Gene:Disease	phenylalanine	Gene	ENTREZ:5053	CFS	Disease	MONDO:0005404	Interestingly, phenylalanine can be used as a potential biomarker for the diagnosis of CFS by SCRM.	30207334	CustomDB
HSDN::has_symptom:Disease:Phenotype	anxiety	Phenotype	SYMP:0000412	long COVID	Disease	MONDO:0100233	Among the reported symptoms, 59% of patients experienced fatigue or lethargy, 48.9% reported decreased stamina, 32.6% reported shortness of breath, 16.8% had a persistent cough, and 23.7% experienced anxiety following recovery from COVID-19.	37128534	CustomDB
GNBR::Md::Gene:Disease	ATG13	Gene	ENTREZ:9776	ME/CFS	Disease	MONDO:0005404	Collectively, our results suggest that an impairment of autophagy following the release of ATG13 into serum could be a pathological signal in ME/CFS.	35487443	CustomDB
GNBR::Md::Gene:Disease	transforming growth factor beta	Gene	ENTREZ:7040	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome	Disease	MONDO:0005404	Past studies in ME/CFS patients have examined circadian rhythms, suggested that desynchronization between central and peripheral rhythms may be an important pathological feature, and identified associated changes in post-inflammatory cytokines such as transforming growth factor beta (TGFB).	37393850	CustomDB
Hetionet::DrD::Disease:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	fibromyalgia	Disease	MONDO:0005546	However, FM patients with a previous CFS diagnosis had lower systemic levels of IL-8, cortisol, oxytocin, and higher levels of adrenaline and serotonin than FM patients without diagnosed CFS.	37239159	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Conclusions Reported symptoms closely resembled myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS); however, a deeper biochemical understanding of ME/CFS is required to confirm causation.	37128534	CustomDB
HSDN::has_symptom:Disease:Phenotype	lethargy	Phenotype	SYMP:0000075	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Conclusions Reported symptoms closely resembled myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS); however, a deeper biochemical understanding of ME/CFS is required to confirm causation.	37128534	CustomDB
HSDN::has_symptom:Disease:Phenotype	anxiety	Phenotype	SYMP:0000412	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Conclusions Reported symptoms closely resembled myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS); however, a deeper biochemical understanding of ME/CFS is required to confirm causation.	37128534	CustomDB
Hetionet::DdG::Disease:Gene	IL-8	Gene	ENTREZ:3576	chronic fatigue syndrome	Disease	MONDO:0005404	However, FM patients with a previous CFS diagnosis had lower systemic levels of IL-8, cortisol, oxytocin, and higher levels of adrenaline and serotonin than FM patients without diagnosed CFS.	37239159	CustomDB
HSDN::has_symptom:Disease:Phenotype	shortness of breath	Phenotype	SYMP:0019153	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Conclusions Reported symptoms closely resembled myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS); however, a deeper biochemical understanding of ME/CFS is required to confirm causation.	37128534	CustomDB
HSDN::has_symptom:Disease:Phenotype	cough	Phenotype	SYMP:0000614	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Conclusions Reported symptoms closely resembled myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS); however, a deeper biochemical understanding of ME/CFS is required to confirm causation.	37128534	CustomDB
GNBR::X::Gene:Disease	CCR2	Gene	ENTREZ:729230	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Specifically, genes related to cytokine signaling were overexpressed (CISH and CCR2), while genes related to helping protect cells from the adverse effects of stress were downregulated (HSPA1B and DDIT3).	36769022	CustomDB
Hetionet::DdG::Disease:Gene	HSPA1B	Gene	ENTREZ:3304	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Specifically, genes related to cytokine signaling were overexpressed (CISH and CCR2), while genes related to helping protect cells from the adverse effects of stress were downregulated (HSPA1B and DDIT3).	36769022	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	functional neurological disorder	Disease	MONDO:0700057	It was hypothesized that a proportion of people with long COVID might be experiencing functional symptoms.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	pain	Phenotype	SYMP:0000099	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	dizziness	Phenotype	SYMP:0000610	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	anosmia	Phenotype	SYMP:0000551	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	headaches	Phenotype	SYMP:0000504	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
HSDN::has_symptom:Disease:Phenotype	ageusia	Phenotype	SYMP:0020004	long COVID	Disease	MONDO:0100233	In all, 102 studies were included in our narrative synthesis. The most consistently reported neurological symptoms were cognitive difficulties, headaches, pain, dizziness, fatigue, sleep-related symptoms and ageusia/anosmia.	36719069	CustomDB
Hetionet::DlA::Disease:Anatomy	pons	Anatomy	MESH:D011149	ME/CFS	Disease	MONDO:0005404	Group comparisons with HC detected significantly larger volumes in ME/CFS for pons (p = 0.004) and whole brainstem (p = 0.01), and in long COVID for pons (p = 0.003), superior cerebellar peduncle (p = 0.009), and whole brainstem (p = 0.005).	36937672	CustomDB
Hetionet::DlA::Disease:Anatomy	pons	Anatomy	MESH:D011149	long COVID	Disease	MONDO:0100233	Group comparisons with HC detected significantly larger volumes in ME/CFS for pons (p = 0.004) and whole brainstem (p = 0.01), and in long COVID for pons (p = 0.003), superior cerebellar peduncle (p = 0.009), and whole brainstem (p = 0.005).	36937672	CustomDB
Hetionet::DlA::Disease:Anatomy	brainstem	Anatomy	MESH:D001933	long COVID	Disease	MONDO:0100233	Group comparisons with HC detected significantly larger volumes in ME/CFS for pons (p = 0.004) and whole brainstem (p = 0.01), and in long COVID for pons (p = 0.003), superior cerebellar peduncle (p = 0.009), and whole brainstem (p = 0.005).	36937672	CustomDB
HSDN::has_symptom:Disease:Phenotype	pain	Phenotype	SYMP:0000099	ME/CFS	Disease	MONDO:0005404	"No significant differences were found between ME/CFS and long COVID volumes. In ME/CFS, we detected positive correlations between the pons and whole brainstem volumes with ""pain"" and negative correlations between the midbrain and whole brainstem volumes with ""breathing difficulty."""	36937672	CustomDB
HSDN::has_symptom:Disease:Phenotype	shortness of breath	Phenotype	SYMP:0019153	long COVID	Disease	MONDO:0100233	Our findings confirmed shortness of breath and chronic fatigue as the most frequent long COVID manifestations, while female sex and severe COVID-19 course were the main risk factors for developing lingering symptoms.	36366465	CustomDB
HSDN::has_symptom:Disease:Phenotype	chronic fatigue	Phenotype	SYMP:0019177	long COVID	Disease	MONDO:0100233	Our findings confirmed shortness of breath and chronic fatigue as the most frequent long COVID manifestations, while female sex and severe COVID-19 course were the main risk factors for developing lingering symptoms.	36366465	CustomDB
HSDN::has_symptom:Disease:Phenotype	insomnia	Phenotype	SYMP:0000571	long COVID	Disease	MONDO:0100233	Overall, 76% patients reported at least one persistent symptom, including dyspnoea (37%), chronic fatigue (36%), insomnia (16%), visual disorders (13%) and brain fog (13%).	36366465	CustomDB
Hetionet::DlA::Disease:Anatomy	brainstem	Anatomy	MESH:D001933	ME/CFS	Disease	MONDO:0005404	Group comparisons with HC detected significantly larger volumes in ME/CFS for pons (p = 0.004) and whole brainstem (p = 0.01), and in long COVID for pons (p = 0.003), superior cerebellar peduncle (p = 0.009), and whole brainstem (p = 0.005).	36937672	CustomDB
Hetionet::DlA::Disease:Anatomy	superior cerebellar peduncle	Anatomy	UBERON:0002150	long COVID	Disease	MONDO:0100233	Group comparisons with HC detected significantly larger volumes in ME/CFS for pons (p = 0.004) and whole brainstem (p = 0.01), and in long COVID for pons (p = 0.003), superior cerebellar peduncle (p = 0.009), and whole brainstem (p = 0.005).	36937672	CustomDB
HSDN::has_symptom:Disease:Phenotype	visual disorders	Phenotype	SYMP:0019163	long COVID	Disease	MONDO:0100233	Overall, 76% patients reported at least one persistent symptom, including dyspnoea (37%), chronic fatigue (36%), insomnia (16%), visual disorders (13%) and brain fog (13%).	36366465	CustomDB
HSDN::has_symptom:Disease:Phenotype	breathing difficulty	Phenotype	SYMP:0019153	ME/CFS	Disease	MONDO:0005404	"No significant differences were found between ME/CFS and long COVID volumes. In ME/CFS, we detected positive correlations between the pons and whole brainstem volumes with ""pain"" and negative correlations between the midbrain and whole brainstem volumes with ""breathing difficulty."""	36937672	CustomDB
HSDN::has_symptom:Disease:Phenotype	breathing difficulty	Phenotype	SYMP:0019153	long COVID	Disease	MONDO:0100233	"In long COVID patients a strong negative relationship was detected between midbrain volume and ""breathing difficulty."""	36937672	CustomDB
Hetionet::DlA::Disease:Anatomy	cardiac	Anatomy	MESH:D006321	ME/CFS	Disease	MONDO:0005404	Overall, cardiac and haematological abnormalities are present within ME/CFS cohorts.	36963989	CustomDB
HSDN::has_symptom:Disease:Phenotype	chronic inflammation	Phenotype	SYMP:0020026	long COVID	Disease	MONDO:0100233	Although the precise reason why long COVID develops is unknown, one of the major causes is thought to be related to chronic inflammation with overproduction of inflammatory cytokines responsible for the symptoms of the disorder.	36065103	CustomDB
HSDN::has_symptom:Disease:Phenotype	chronic inflammation	Phenotype	SYMP:0020026	Long-haul COVID	Disease	MONDO:0100233	Interestingly, Long-haul COVID and many debilitating viral diseases display a similar range of clinical symptoms of muscle fatigue, dizziness, depression, and chronic inflammation.	36750846	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	Long-haul COVID	Disease	MONDO:0100233	Interestingly, Long-haul COVID and many debilitating viral diseases display a similar range of clinical symptoms of muscle fatigue, dizziness, depression, and chronic inflammation.	36750846	CustomDB
HSDN::has_symptom:Disease:Phenotype	dizziness	Phenotype	SYMP:0000610	Long-haul COVID	Disease	MONDO:0100233	Interestingly, Long-haul COVID and many debilitating viral diseases display a similar range of clinical symptoms of muscle fatigue, dizziness, depression, and chronic inflammation.	36750846	CustomDB
HSDN::has_symptom:Disease:Phenotype	chronic fatigue	Phenotype	SYMP:0019177	long COVID	Disease	MONDO:0100233	In addition to chronic fatigue, which is a common symptom of long COVID, patients may present with chest pain, ECG abnormalities, postural orthostatic tachycardia, or newly developed supraventricular or ventricular arrhythmias.	35875883	CustomDB
Hetionet::DrD::Disease:Disease	postural orthostatic tachycardia	Disease	MONDO:0011479	long COVID	Disease	MONDO:0100233	In addition to chronic fatigue, which is a common symptom of long COVID, patients may present with chest pain, ECG abnormalities, postural orthostatic tachycardia, or newly developed supraventricular or ventricular arrhythmias.	35875883	CustomDB
HSDN::has_symptom:Disease:Phenotype	arrhythmias	Phenotype	SYMP:0000287	long COVID	Disease	MONDO:0100233	In addition to chronic fatigue, which is a common symptom of long COVID, patients may present with chest pain, ECG abnormalities, postural orthostatic tachycardia, or newly developed supraventricular or ventricular arrhythmias.	35875883	CustomDB
HSDN::has_symptom:Disease:Phenotype	muscle fatigue	Phenotype	SYMP:0019177	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	We also discuss the pathological resemblance of virus-triggered muscle fatigue with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).	36750846	CustomDB
HSDN::has_symptom:Disease:Phenotype	depression	Phenotype	SYMP:0000022	Long-haul COVID	Disease	MONDO:0100233	Interestingly, Long-haul COVID and many debilitating viral diseases display a similar range of clinical symptoms of muscle fatigue, dizziness, depression, and chronic inflammation.	36750846	CustomDB
GNBR::X::Gene:Disease	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	MIR374B	Gene	ENTREZ:100126317	While the expression of miR-127-3p, miR-140-5p and miR-374b-5p was significantly higher in ME/CFS patients compared to HC.	36732593	CustomDB
Hetionet::DdG::Disease:Gene	glutathione peroxidase	Gene	ENTREZ:2876	Long COVID	Disease	MONDO:0100233	In conclusion, the impact of acute COVID-19 on the symptoms of Long COVID is partly mediated by OSTOX/ANTIOX, especially lowered Gpx and zinc, increased MPO and NO production and lipid peroxidation-associated aldehyde formation.	36280755	CustomDB
GNBR::J::Compound:Disease	zinc	Compound	DrugBank:DB01593	Long COVID	Disease	MONDO:0100233	In conclusion, the impact of acute COVID-19 on the symptoms of Long COVID is partly mediated by OSTOX/ANTIOX, especially lowered Gpx and zinc, increased MPO and NO production and lipid peroxidation-associated aldehyde formation.	36280755	CustomDB
GNBR::J::Compound:Disease	nitric oxide	Compound	DrugBank:DB00435	Long COVID	Disease	MONDO:0100233	In conclusion, the impact of acute COVID-19 on the symptoms of Long COVID is partly mediated by OSTOX/ANTIOX, especially lowered Gpx and zinc, increased MPO and NO production and lipid peroxidation-associated aldehyde formation.	36280755	CustomDB
HSDN::has_symptom:Disease:Phenotype	chest pain	Phenotype	SYMP:0000576	long COVID	Disease	MONDO:0100233	In addition to chronic fatigue, which is a common symptom of long COVID, patients may present with chest pain, ECG abnormalities, postural orthostatic tachycardia, or newly developed supraventricular or ventricular arrhythmias.	35875883	CustomDB
Hetionet::DlA::Disease:Anatomy	sympathetic	Anatomy	UBERON:0000013	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	The meta-analysis results demonstrate that sleep is altered in ME/CFS, with changes seeming to differ between adolescent and adults, and suggesting sympathetic and parasympathetic nervous system alterations in ME/CFS.	36948138	CustomDB
GNBR::X::Gene:Disease	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	MIR127	Gene	ENTREZ:406914	While the expression of miR-127-3p, miR-140-5p and miR-374b-5p was significantly higher in ME/CFS patients compared to HC.	36732593	CustomDB
GNBR::X::Gene:Disease	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	MIR140	Gene	ENTREZ:406932	While the expression of miR-127-3p, miR-140-5p and miR-374b-5p was significantly higher in ME/CFS patients compared to HC.	36732593	CustomDB
Hetionet::DuG::Disease:Gene	myeloperoxidase	Gene	ENTREZ:4353	Long COVID	Disease	MONDO:0100233	In conclusion, the impact of acute COVID-19 on the symptoms of Long COVID is partly mediated by OSTOX/ANTIOX, especially lowered Gpx and zinc, increased MPO and NO production and lipid peroxidation-associated aldehyde formation.	36280755	CustomDB
Hetionet::DlA::Disease:Anatomy	parasympathetic nervous system	Anatomy	UBERON:0000011	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	The meta-analysis results demonstrate that sleep is altered in ME/CFS, with changes seeming to differ between adolescent and adults, and suggesting sympathetic and parasympathetic nervous system alterations in ME/CFS.	36948138	CustomDB
Hetionet::DlA::Disease:Anatomy	histomorphological manifestations of hippocampal CA1 region	Anatomy	MESH:D056547	chronic fatigue syndrome	Disease	MONDO:0005404	TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF.	37186194	CustomDB
Hetionet::DuG::Disease:Gene	extracellular regulatory protein kinase	Gene	ENTREZ:5594	chronic fatigue syndrome	Disease	MONDO:0005404	TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF.	37186194	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	Long COVID	Disease	MONDO:0100233	COVID-19, with persistent and new onset of symptoms such as fatigue, post-exertional malaise, and cognitive dysfunction that last for months and impact everyday functioning, is referred to as Long COVID under the general category of post-acute sequelae of SARS-CoV-2 infection (PASC).	36947108	CustomDB
Hetionet::DdG::Disease:Gene	DDIT3	Gene	ENTREZ:1649	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Specifically, genes related to cytokine signaling were overexpressed (CISH and CCR2), while genes related to helping protect cells from the adverse effects of stress were downregulated (HSPA1B and DDIT3).	36769022	CustomDB
Hetionet::DuG::Disease:Gene	cyclic adenosine response element binding protein	Gene	ENTREZ:1385	chronic fatigue syndrome	Disease	MONDO:0005404	TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF.	37186194	CustomDB
Hetionet::DuG::Disease:Gene	brain-derived neurotrophic factor	Gene	ENTREZ:627	chronic fatigue syndrome	Disease	MONDO:0005404	TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF.	37186194	CustomDB
HSDN::has_symptom:Disease:Phenotype	post-exertional malaise	Phenotype	SYMP:0019176	Long COVID	Disease	MONDO:0100233	COVID-19, with persistent and new onset of symptoms such as fatigue, post-exertional malaise, and cognitive dysfunction that last for months and impact everyday functioning, is referred to as Long COVID under the general category of post-acute sequelae of SARS-CoV-2 infection (PASC).	36947108	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	A large proportion of AAV patients suffer from debilitating fatigue consequential enough to meet the diagnostic criteria for ME/CFS.	36890852	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	long COVID	Disease	MONDO:0100233	Our long COVID cohort's symptoms were found to be in line with global findings, where the most prevalent symptoms were constant fatigue (74%,) cognitive impairment (71%) and depression and anxiety (30%).	36131342	CustomDB
Hetionet::DdG::Disease:Gene	plasma Kallikrein	Gene	ENTREZ:3700	long COVID	Disease	MONDO:0100233	Our most noteworthy findings were a reduced level of plasma Kallikrein compared to our controls, an increased level of platelet factor 4 (PF4) von Willebrand factor (VWF), and a marginally increased level of α-2 antiplasmin (α-2-AP).	36131342	CustomDB
Hetionet::DuG::Disease:Gene	platelet factor 4	Gene	ENTREZ:5196	long COVID	Disease	MONDO:0100233	Our most noteworthy findings were a reduced level of plasma Kallikrein compared to our controls, an increased level of platelet factor 4 (PF4) von Willebrand factor (VWF), and a marginally increased level of α-2 antiplasmin (α-2-AP).	36131342	CustomDB
Hetionet::DuG::Disease:Gene	α-2 antiplasmin	Gene	ENTREZ:5345	long COVID	Disease	MONDO:0100233	Our most noteworthy findings were a reduced level of plasma Kallikrein compared to our controls, an increased level of platelet factor 4 (PF4) von Willebrand factor (VWF), and a marginally increased level of α-2 antiplasmin (α-2-AP).	36131342	CustomDB
Hetionet::DrD::Disease:Disease	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	ANCA-vasculitis	Disease	MONDO:0019988	A large proportion of AAV patients suffer from debilitating fatigue consequential enough to meet the diagnostic criteria for ME/CFS.	36890852	CustomDB
Hetionet::DuG::Disease:Gene	von Willebrand factor	Gene	ENTREZ:7450	long COVID	Disease	MONDO:0100233	Our most noteworthy findings were a reduced level of plasma Kallikrein compared to our controls, an increased level of platelet factor 4 (PF4) von Willebrand factor (VWF), and a marginally increased level of α-2 antiplasmin (α-2-AP).	36131342	CustomDB
HSDN::has_symptom:Disease:Phenotype	anxiety	Phenotype	SYMP:0000412	long COVID	Disease	MONDO:0100233	Our long COVID cohort's symptoms were found to be in line with global findings, where the most prevalent symptoms were constant fatigue (74%,) cognitive impairment (71%) and depression and anxiety (30%).	36131342	CustomDB
Hetionet::DrD::Disease:Disease	interstitial lung diseases	Disease	MONDO:0015925	long COVID	Disease	MONDO:0100233	Pathological findings are mainly found after a severe acute course of COVID-19 and include radiological changes with characteristics of interstitial lung diseases, restrictive ventilation patterns and limitations in diffusion capacity as the most common pathological finding.	35925073	CustomDB
Hetionet::DlA::Disease:Anatomy	lung	Anatomy	MESH:D008168	long COVID	Disease	MONDO:0100233	Pathological findings are mainly found after a severe acute course of COVID-19 and include radiological changes with characteristics of interstitial lung diseases, restrictive ventilation patterns and limitations in diffusion capacity as the most common pathological finding.	35925073	CustomDB
PrimeKG::parent-child:Disease:Disease	long COVID	Disease	MONDO:0100233	chronic fatigue syndrome	Disease	MONDO:0005404	To conclude it would be reasonable to screen for long COVID and consider the potential for developing CFS later on	34537995	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	post-COVID-19	Disease	MONDO:0100233	From our findings, the presence of fatigue, cognitive impairment, stress, sadness, sleep disturbances and recurrent falls in the post-recovery period were all significantly associated with CFS-like symptoms.	34537995	CustomDB
HSDN::has_symptom:Disease:Phenotype	stress	Phenotype	SYMP:0000412	post-COVID-19	Disease	MONDO:0100233	From our findings, the presence of fatigue, cognitive impairment, stress, sadness, sleep disturbances and recurrent falls in the post-recovery period were all significantly associated with CFS-like symptoms.	34537995	CustomDB
HSDN::has_symptom:Disease:Phenotype	depression	Phenotype	SYMP:0000022	long COVID	Disease	MONDO:0100233	Our long COVID cohort's symptoms were found to be in line with global findings, where the most prevalent symptoms were constant fatigue (74%,) cognitive impairment (71%) and depression and anxiety (30%).	36131342	CustomDB
HSDN::has_symptom:Disease:Phenotype	dyspnea	Phenotype	SYMP:0019153	long COVID	Disease	MONDO:0100233	After chronic fatigue, dyspnea is the most common symptom in patients with long COVID syndrome.	35925073	CustomDB
HSDN::has_symptom:Disease:Phenotype	sadness	Phenotype	SYMP:0000022	post-COVID-19	Disease	MONDO:0100233	From our findings, the presence of fatigue, cognitive impairment, stress, sadness, sleep disturbances and recurrent falls in the post-recovery period were all significantly associated with CFS-like symptoms.	34537995	CustomDB
GNBR::Md::Gene:Disease	LIF	Gene	ENTREZ:3976	ME/CFS	Disease	MONDO:0005404	Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α.	28760971	CustomDB
