resource	label	id	name	synonyms	description	xrefs	taxid
WikiPathways	Pathway	WikiPathways:WP3309	EPH-Ephrin signaling		During the development process cell migration and adhesion are the main forces involved in morphing the cells into critical anatomical structures. The ability of a cell to migrate to its correct destination depends heavily on signaling at the cell membrane. Erythropoietin producing hepatocellular carcinoma (EPH) receptors and their ligands, the ephrins (EPH receptors interacting proteins, EFNs), orchestrates the precise control necessary to guide a cell to its destination. They are expressed in all tissues of a developing embryo and are involved in multiple developmental processes such as axon guidance, cardiovascular and skeletal development and tissue patterning. In addition, EPH receptors and EFNs are expressed in developing and mature synapses in the nervous system, where they may have a role in regulating synaptic plasticity and long-term potentiation. Activation of EPHB receptors in neurons induces the rapid formation and enlargement of dendritic spines, as well as rapid synapse maturation (Dalva et al. 2007). On the other hand, EPHA4 activation leads to dendritic spine elimination (Murai et al. 2003, Fu et al. 2007).<br>EPH receptors are the largest known family of receptor tyrosine kinases (RTKs), with fourteen total receptors divided into either A- or B-subclasses: EPHA (1-8 and 10) and EPHB (1-4 and 6). EPH receptors can have overlapping functions, and loss of one receptor can be partially compensated for by another EPH receptor that has similar expression pattern and ligand-binding specificities. EPH receptors have an N-terminal extracellular domain through which they bind to ephrin ligands, a short transmembrane domain, and an intracellular cytoplasmic signaling structure containing a canonical tyrosine kinase catalytic domain as well as other protein interaction sites. Ephrins are also sub-divided into an A-subclass (A1-A5), which are tethered to the plasma membrane by a glycosylphosphatidylinositol (GPI) anchor, and a B-subclass (B1-B3), members of which have a transmembrane domain and a short, highly conserved cytoplasmic tail lacking endogenous catalytic activity. The interaction between EPH receptors and its ligands requires cell-cell interaction since both molecules are membrane-bound. Close contact between EPH receptors and EFNs is required for signaling to occur. EPH/EFN-initiated signaling occurs bi-directionally into either EPH- or EFN-expressing cells or axons. Signaling into the EPH receptor-expressing cell is referred as the forward signal and signaling into the EFN-expressing cell, the reverse signal. (Dalva et al. 2000, Grunwald et al. 2004, Davy & Robbins 2000, Cowan et al. 2004) View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=2682334 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3310	Mitochondrial translation		Of the roughly 1000 human mitochondrial proteins only 13 proteins, all of them hydrophobic inner membrane proteins that are components of the oxidative phosphorylation apparatus, are encoded in the mitochondrial genome and translated by mitoribosomes at the matrix face of the inner membrane (reviewed in Herrmann et al. 2012, Hallberg and Larsson 2014, Lightowlers et al. 2014). The remainder, including all proteins of the mitochondrial translation system, are encoded in the nucleus and imported from the cytosol into the mitochondrion. Translation in the mitochondrion reflects both the bacterial origin of the organelle and subsequent divergent evolution during symbiosis (reviewed in Huot et al. 2014, Richman et al. 2014). Human mitochondrial ribosomes have a low sedimentation coefficient of only 55S, but at 2.71 MDa they retain a similar mass to E. coli 70S particles. The 55S particles are protein-rich compared to both cytosolic ribosomes and eubacterial ribosomes. This is due to shorter mt-rRNAs, mitochondria-specific proteins, and numerous rearrangements in individual protein positions within the two ribosome subunits (inferred from bovine ribosomes in Sharma et al. 2003, Greber et al. 2014, Kaushal et al. 2014, reviewed in Agrawal and Sharma 2012).<br>Mitochondrial mRNAs have either no untranslated leader or short leaders of 1-3 nucleotides, with the exception of the 2 bicistronic transcripts, RNA7 and RNA14, which have overlapping orfs that encode ND4L/ND4 and ATP8/ATP6 respectively. Translation is believed to initiate with the mRNA binding the 28S subunit:MTIF3 (28S subunit:IF-3Mt, 28S subunit:IF2mt) complex together with MTIF2:GTP (IF-2Mt:GTP, IF2mt:GTP) at the matrix face of the inner membrane (reviewed in Christian and Spremulli 2012). MTIF3 can dissociate 55S particles in preparation for initiation, enhances formation of initiation complexes, and inhibits N-formylmethionine-tRNA (fMet-tRNA) binding to 28S subunits in the absence of mRNA. Binding of fMet-tRNA to the start codon of the mRNA results in a stable complex while absence of a start codon at the 5' end of the mRNA causes eventual dissociation of the mRNA from the 28S subunit. After recognition of a start codon, the 39S subunit then binds the stable complex, GTP is hydrolyzed, and the initiation factors MTIF3 and MTIF2:GDP dissociate.<br>Translation elongation then proceeds by cycles of aminoacyl-tRNAs binding, peptide bond formation, and displacement of deacylated tRNAs. In each cycle an aminoacyl-tRNA in a complex with TUFM:GTP (EF-Tu:GTP) binds at the A-site of the ribosome, GTP is hydrolyzed, and TUFM:GDP dissociates. The elongating polypeptide bonded to the tRNA at the P-site is transferred to the aminoacyl group at the A-site by peptide bond formation at the peptidyl transferase center, leaving a deacylated tRNA at the P-site and the elongating polypeptide attached to the tRNA at the A-site. The polypeptide is co-translationally inserted into the inner mitochondrial membrane via an interaction with OXA1L (Haque et al. 2010, reviewed in Ott and Hermann 2010). After peptide bond formation, GFM1:GTP (EF-Gmt:GTP) then binds the ribosome complex, GTP is hydrolyzed, GFM1:GDP dissociates, and the ribosome translocates 3 nucleotides in the 3' direction along the mRNA, relocating the polypeptide-tRNA to the P-site and allowing another cycle to begin. TUFM:GDP is regenerated to TUFM:GTP by the guanine nucleotide exchange factor TSFM (EF-Ts, EF-TsMt).<br>Translation is terminated when MTRF1L:GTP (MTRF1a:GTP) recognizes an UAA or UAG termination codon at the A-site of the ribosome (Tsuboi et al. 2009). GTP hydrolysis does not appear to be required. The tRNA-aminoacyl bond between the translated polypeptide and the final tRNA at the P-site is hydrolyzed by the 39S subunit, facilitating release of  the polypeptide. MRRF (RRF) and GFM2:GTP (EF-G2mt:GTP) then act to release the remaining tRNA and mRNA from the ribosome and dissociate the 55S ribosome into 28S and 39S subunits.<br>Mutations have been identified in genes encoding mitochondrial ribosomal proteins and translation factors. These have been shown to be pathogenic, causing neurological and other diseases (reviewed in Koopman et al. 2013, Pearce et al. 2013). View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5368287 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3312	PRC2 methylates histones and DNA		Polycomb group proteins are responsible for the heritable repression of genes during development (Lee et al. 2006, Ku et al. 2008, reviewed in Simon and Kingston 2009, Margueron and Reinberg 2011, Di Croce and Helin 2013). Two major families of Polycomb complexes exist: Polycomb Repressive Complex 1 (PRC1) and Polycomb Repressive Complex 2 (PRC2). PRC1 and PRC2 each appear to comprise sets of distinct complexes that contain common core subunits and distinct accessory subunits (reviewed in Nayak et al. 2011). PRC2, through its component EZH2 or, in some complexes, EZH1 produces the initial molecular mark of repression, the trimethylation of lysine-27 of histone H3 (H3K27me3). How PRC2 is initially recruited to a locus remains unknown, however cytosine-guanine (CpG) motifs and transcripts have been suggested. Different mechanisms may be used at different loci. The trimethylated H3K27 produced by PRC2 is bound by the Polycomb subunit of PRC1. PRC1 ubiquitinates histone H2A and maintains repression. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=212300 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3313	Hedgehog 'on' state		Hedgehog is a secreted morphogen that has evolutionarily conserved roles in body organization by regulating the activity of the Ci/Gli transcription factor family. In Drosophila in the absence of Hh signaling, full-length Ci is partially degraded by the proteasome to generate a truncated repressor form that translocates to the nucleus to represses Hh-responsive genes. Binding of Hh ligand to the Patched (PTC) receptor allows the 7-pass transmembrane protein Smoothened (SMO) to be activated in an unknown manner, disrupting the partial proteolysis of Ci and allowing the full length activator form to accumulate (reviewed in Ingham et al, 2011; Briscoe and Therond, 2013).  <br>While many of the core components of Hh signaling are conserved from flies to humans, the pathways do show points of significant divergence. Notably, the human genome encodes three Ci homologues, GLI1, 2 and 3 that each play slightly different roles in regulating Hh responsive genes. GLI3 is the primary repressor of Hh signaling in vertebrates, and is converted to the truncated GLI3R repressor form in the absence of Hh. GLI2 is a potent activator of transcription in the presence of Hh but contributes only minimally to the repression function. While a minor fraction of GLI2 protein is processed into the repressor form in the absence of Hh, the majority is either fully degraded by the proteasome or sequestered in the full-length form in the cytosol by protein-protein interactions. GLI1 lacks the repression domain and appears to be an obligate transcriptional activator (reviewed in Briscoe and Therond, 2013).<br> Vertebrate but not fly Hh signaling also depends on the movement of pathway components through the primary cilium. The primary cilium is a non-motile microtubule based structure whose construction and maintenance depends on intraflagellar transport (IFT). Anterograde IFT moves molecules from the ciliary base along the axoneme to the ciliary tip in a manner that requires the microtubule-plus-end directed kinesin KIF3 motor complex and the IFT-B protein complex, while retrograde IFT back to the ciliary base depends on the minus-end directed dynein motor and the IFT-A complex. Genetic screens have identified a number of cilia-related proteins that are required both to maintain Hh in the 'off' state and to transduce the signal when the pathway is activated (reviewed in Hui and Angers, 2011; Goetz and Anderson, 2010).     View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5632684 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3315	O-linked glycosylation		O-glycosylation is an important post-translational modification (PTM) required for correct functioning of many proteins (Van den Steen et al. 1998, Moremen et al. 2012). The O-glycosylation of proteins containing thrombospondin type 1 repeat (TSR) domains and O-glycosylation of mucins are currently described here. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5173105 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3316	Hedgehog 'off' state		Hedgehog is a secreted morphogen that has evolutionarily conserved roles in body organization by regulating the activity of the Ci/Gli transcription factor family. In Drosophila in the absence of Hh signaling, full-length Ci is partially degraded by the proteasome to generate a truncated repressor form that translocates to the nucleus to represses Hh-responsive genes. Binding of Hh ligand to the Patched (PTC) receptor allows the 7-pass transmembrane protein Smoothened (SMO) to be activated in an unknown manner, disrupting the partial proteolysis of Ci and allowing the full length activator form to accumulate (reviewed in Ingham et al, 2011; Briscoe and Therond, 2013).  <br>While many of the core components of Hh signaling are conserved from flies to humans, the pathways do show points of significant divergence. Notably, the human genome encodes three Ci homologues, GLI1, 2 and 3 that each play slightly different roles in regulating Hh responsive genes. GLI3 is the primary repressor of Hh signaling in vertebrates, and is converted to the truncated GLI3R repressor form in the absence of Hh. GLI2 is a potent activator of transcription in the presence of Hh but contributes only minimally to the repression function. While a minor fraction of GLI2 protein is processed into the repressor form in the absence of Hh, the majority is either fully degraded by the proteasome or sequestered in the full-length form in the cytosol by protein-protein interactions. GLI1 lacks the repression domain and appears to be an obligate transcriptional activator (reviewed in Briscoe and Therond, 2013).<br> Vertebrate but not fly Hh signaling also depends on the movement of pathway components through the primary cilium. The primary cilium is a non-motile microtubule based structure whose construction and maintenance depends on intraflagellar transport (IFT). Anterograde IFT moves molecules from the ciliary base along the axoneme to the ciliary tip in a manner that requires the microtubule-plus-end directed kinesin KIF3 motor complex and the IFT-B protein complex, while retrograde IFT back to the ciliary base depends on the minus-end directed dynein motor and the IFT-A complex. Genetic screens have identified a number of cilia-related proteins that are required both to maintain Hh in the 'off' state and to transduce the signal when the pathway is activated (reviewed in Hui and Angers, 2011; Goetz and Anderson, 2010).     View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5610787 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3317	Caspase activation via dependence receptors in the absence of ligand		In the presence of Netrin1, DCC and UNC5 generate attractive and repulsive signals to growing axons. In the absence of Netrin-1, DCC induces cell death signaling initiated via caspase cleavage of DCC and the interaction of caspase-9. Recent reports have shown that UNC5 receptors similarly induce apoptosis in the absence of Netrin-1. These reactions proceed without a requirement for cytochrome c release from mitochondria or interaction with apoptotic protease activating factor 1 (APAF1). DCC thus regulates an apoptosome-independent pathway for caspase activation. DCC and UNC-5 are hence defined as dependence receptors. Dependence receptors exhibit dual functions depending on the availability of ligand. They create cellular states of dependence on their respective ligands by either inducing apoptosis when unoccupied by the ligand, or inhibiting apoptosis in the presence of the ligand. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=418889 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3318	MTOR signaling		Target of rapamycin (mTOR) is a highly-conserved serine/threonine kinase that regulates cell growth and division in response to energy levels, growth signals, and nutrients (Zoncu et al. 2011). Control of mTOR activity is critical for the cell since its dysregulation leads to cancer, metabolic disease, and diabetes (Laplante & Sabatini 2012). In cells, mTOR exists as two structurally distinct complexes termed mTOR complex 1 (mTORC1) and mTOR complex 2 (mTORC2), each one with specificity for different sets of effectors. mTORC1 couples energy and nutrient abundance to cell growth and proliferation by balancing anabolic (protein synthesis and nutrient storage) and catabolic (autophagy and utilization of energy stores) processes. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=165159 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3320	Miscellaneous transport and binding events		This section contains known transport and binding events that as of yet cannot be placed in exisiting pathways (Purves 2001, He et al. 2009, Rees et al. 2009). View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5223345 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3322	RHO GTPases regulate CFTR trafficking		Activated RHO GTPase RHOQ (TC10) regulates the trafficking of CFTR (cystic fibrosis transmembrane conductance regulator) by binding to GOPC (Golgi-associated and PDZ and coiled-coil motif-containing protein) also known as PIST, FIG or CAL. GOPC is a Golgi resident protein that binds several membrane proteins, thereby modulating their expression. In the absence of RHOQ, GOPC bound to CFTR directs CFTR for lysosomal degradation, while GTP-bound RHOQ directs GOPC:CFTR complex to the plasma membrane, thereby rescuing CFTR (Neudauer et al. 2001, Cheng et al. 2005). View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5627083 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3327	SUMOylation of DNA damage response and repair proteins		Several factors that participate in DNA damage response and repair are SUMOylated (reviewed in Dou et al. 2011, Bekker-Jensen and Mailand 2011, Ulrich 2012, Psakhye and Jentsch 2012, Bologna and Ferrari 2013, Flotho and Melchior 2013, Jackson and Durocher 2013). SUMOylation can alter enzymatic activity and protein stability or it can serve to recruit additional factors. For example, SUMOylation of Thymine DNA glycosylase (TDG) causes TDG to lose affinity for its product, an abasic site opposite a G residue, and thus increases turnover of the enzyme. During repair of double-strand breaks SUMO1, SUMO2, SUMO3, and the SUMO E3 ligases PIAS1 and PIAS4 accumulate at double-strand breaks where BRCA1, HERC1, RNF168, MDC1, and TP53BP1 are SUMOylated. SUMOylation of BRCA1 may increase its ubiquitin ligase activity while SUMOylation of MDC1 and HERC2 appears to play a role in recruitment of proteins such as RNF4 and RNF8 to double strand breaks. Similarly SUMOylation of RPA1 (RPA70) recruits RAD51 in the homologous recombination pathway. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=3108214 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3330	RHO GTPases activate IQGAPs		IQGAPs constitute a family of scaffolding proteins characterized by a calponin homology (CH) domain, a polyproline binding region (WW domain), a tandem of four IQ (isoleucine and glutamine-rich) repeats and a RAS GTPase-activating protein-related domain (GRD). Three IQGAPs have been identified in human, IQGAP1, IQGAP2 and IQGAP3. The best characterized is IQGAP1 and over 90 proteins have been reported to bind to it. IQGAPs integrate multiple signaling pathways and coordinate a large variety of cellular activities (White et al. 2012). IQGAP proteins IQGAP1, IQGAP2 and IQGAP3, bind activated RHO GTPases RAC1 and CDC42 via their GRD and stabilize them in their GTP-bound state (Kuroda et al. 1996, Swart-Mataraza et al. 2002, Wang et al. 2007). IQGAPs bind F-actin filaments via the CH domain and modulate cell shape and motility through regulation of G-actin/F-actin equilibrium (Brill et al. 1996, Fukata et al. 1997, Bashour et al. 1997, Wang et al. 2007, Pelikan-Conchaudron et al. 2011). Binding of IQGAPs to F-actin is inhibited by calmodulin binding to the IQ repeats (Bashour et al. 1997, Pelikan-Conchaudron et al. 2011). Based on IQGAP1 studies, IQGAPs presumably function as homodimers (Bashour et al. 1997).<p>IQGAP1 is involved in the regulation of adherens junctions through its interaction with E-cadherin (CDH1) and catenins (CTTNB1 and CTTNA1) (Kuroda et al. 1998, Hage et al. 2009). IQGAP1 contributes to cell polarity and lamellipodia formation through its interaction with microtubules (Fukata et al. 2002, Suzuki and Takahashi 2008).  View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5626467 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3331	Mitochondrial biogenesis		Mitochondrial biogenesis and remodeling occur in response to exercise and redox state (reviewed in Scarpulla et al. 2012, Handy and Loscalzo 2012, Piantadosi and Suliman 2012, Scarpulla 2011, Wenz et al. 2011, Bo et al. 2010, Jornayvaz and Shulman 2010, Ljubicic et al. 2010, Hock and Kralli 2009, Canto and Auwerx 2009, Lin 2009, Scarpulla 2008, Ventura-Clapier et al. 2008). It is hypothesized that calcium influx and energy depletion are the signals that initiate changes in gene expression leading to new mitochondrial proteins. Energy depletion causes a reduction in ATP and an increase in AMP which activates AMPK. AMPK in turn phosphorylates the coactivator PGC-1alpha (PPARGC1A), one of the master regulators of mitochondrial biosynthesis. Likewise, p38 MAPK is activated by muscle contraction (possibly via calcium and CaMKII) and phosphorylates PGC-1alpha. CaMKIV responds to intracellular calcium by phosphorylating CREB, which activates expression of PGC-1alpha.<br>Deacetylation of PGC-1alpha by SIRT1 may also play a role in activation (Canto et al. 2009, Gurd et al. 2011), however Sirt11 deacetylation of Ppargc1a in mouse impacted genes related to glucose metabolism rather than mitochondrial biogenesis (Rodgers et al. 2005) and mice lacking SIRT1 in muscle had normal levels of mitochondrial biogenesis in response to exercise (Philp et al. 2011) so the role of deacetylation is not fully defined. PGC-1beta and PPRC appear to act similarly to PGC-1alpha but they have not been as well studied.<br>Phosphorylated PGC-1alpha does not bind DNA directly but instead interacts with other transcription factors, notably NRF1 and NRF2 (via HCF1). NRF1 and NRF2 together with PGC-1alpha activate the transcription of nuclear-encoded, mitochondrially targeted proteins such as TFB2M, TFB1M, and TFAM. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=1592230 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3332	RAF-independent MAPK1/3 activation		Depending upon the stimulus and cell type mitogen-activated protein kinases (MAPK) signaling pathway can transmit signals to regulate many different biological processes by virtue of their ability to target multiple effector proteins (Kyriakis JM & Avruch J 2012; Yoon and Seger 2006; Shaul YD & Seger R 2007; Arthur JS & Ley SC 2013). In particular, the extracellular signal-regulated kinases MAPK3(ERK1) and MAPK1 (ERK2) are involved in diverse cellular processes such as proliferation, differentiation, regulation of inflammatory responses, cytoskeletal remodeling, cell motility and invasion through the increase of matrix metalloproteinase production (Viala E & Pouyssegur J 2004; Hsu MC et al. 2006; Dawson CW et al.2008; Kuriakose T et al. 2014).The canonical RAF:MAP2K:MAPK1/3 cascade is stimulated by various extracellular stimuli including hormones, cytokines, growth factors, heat shock and UV irradiation triggering the GEF-mediated activation of RAS at the plasma membrane and leading to the activation of the RAF MAP3 kinases. However, many physiological and pathological stimuli have been found to activate MAPK1/3 independently of RAF and RAS (Dawson CW et al. 2008; Wang J et al. 2009; Kuriakose T et al. 2014). For example, AMP-activated protein kinase (AMPK), but not RAF1, was reported to regulate MAP2K1/2 and MAPK1/3 (MEK and ERK) activation in rat hepatoma H4IIE and human erythroleukemia K562 cells in response to autophagy stimuli (Wang J et al. 2009). Tumor progression locus 2 (TPL2, also known as MAP3K8 and COT) is another MAP3 kinase which promotes MAPK1/3 (ERK)-regulated immune responses downstream of toll-like receptors (TLR), TNF receptor and IL1beta signaling pathways (Gantke T et al. 2011).<p>In response to stimuli the cell surface receptors transmit signals inducing MAP3 kinases, e.g., TPL2, MEKK1, which in turn phosphorylate MAP2Ks (MEK1/2). MAP2K then phosphorylate and activate the MAPK1/3 (ERK1 and ERK2 MAPKs). Activated MAPK1/3 phosphorylate and regulate the activities of an ever growing pool of substrates that are estimated to comprise over 160 proteins (Yoon and Seger 2006). The majority of ERK substrates are nuclear proteins, but others are found in the cytoplasm and other organelles. Activated MAPK1/3 can translocate to the nucleus, where they phosphorylate and regulate various transcription factors, such as Ets family transcription factors (e.g., ELK1), ultimately leading to changes in gene expression (Zuber J et al. 2000). View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=112409 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3333	POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation		POU5F1 (OCT4), SOX2, and NANOG bind elements in the promoters of target genes. The target genes of each transcription factor overlap extensively: POU5F1, SOX2, and NANOG co-occupy at least 353 genes (Boyer et al. 2005). About half of POU5F1 targets also bind SOX2 and about 90% of these also bind NANOG (Boyer et al. 2005). Upon binding the transcription factors activate expression of one subset of target genes and repress another subset (Kim et al. 2006, Matoba et al. 2006, Player et al. 2006, Babaie et al. 2007). The targets listed in this module are those that have been described as composing activated genes in the core transcriptional network of pluripotent stem cells (Assou et al. 2007, Chavez et al. 2009, Jung et al. 2010). Inferences from mouse to human have been made with caution because of significant differences between the two species (Ginis et al. 2004). View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=2892247 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3334	Signaling by FGFR4		The 22 members of the fibroblast growth factor (FGF) family of growth factors mediate their cellular responses by binding to and activating the different isoforms encoded by the four receptor tyrosine kinases (RTKs) designated FGFR1, FGFR2, FGFR3 and FGFR4. These receptors are key regulators of several developmental processes in which cell fate and differentiation to various tissue lineages are determined. Unlike other growth factors, FGFs act in concert with heparin or heparan sulfate proteoglycan (HSPG) to activate FGFRs and to induce the pleiotropic responses that lead to the variety of cellular responses induced by this large family of growth factors. An alternative, FGF-independent, source of FGFR activation originates from the interaction with cell adhesion molecules, typically in the context of interactions on neural cell membranes and is crucial for neuronal survival and development.<br><br>Upon ligand binding, receptor dimers are formed and their intrinsic tyrosine kinase is activated causing phosphorylation of multiple tyrosine residues on the receptors. These then serve as docking sites for the recruitment of SH2 (src homology-2) or PTB (phosphotyrosine binding) domains of adaptors, docking proteins or signaling enzymes. Signaling complexes are assembled and recruited to the active receptors resulting in a cascade of phosphorylation events.<br><br>This leads to stimulation of intracellular signaling pathways that control cell proliferation, cell differentiation, cell migration, cell survival and cell shape, depending on the cell type or stage of maturation.<br> View original pathway at:[http://www.reactome.org/PathwayBrowser/#DIAGRAM=5654743 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3335	Signaling by FGFR1		The 22 members of the fibroblast growth factor (FGF) family of growth factors mediate their cellular responses by binding to and activating the different isoforms encoded by the four receptor tyrosine kinases (RTKs) designated FGFR1, FGFR2, FGFR3 and FGFR4. These receptors are key regulators of several developmental processes in which cell fate and differentiation to various tissue lineages are determined. Unlike other growth factors, FGFs act in concert with heparin or heparan sulfate proteoglycan (HSPG) to activate FGFRs and to induce the pleiotropic responses that lead to the variety of cellular responses induced by this large family of growth factors. An alternative, FGF-independent, source of FGFR activation originates from the interaction with cell adhesion molecules, typically in the context of interactions on neural cell membranes and is crucial for neuronal survival and development.<br><br>Upon ligand binding, receptor dimers are formed and their intrinsic tyrosine kinase is activated causing phosphorylation of multiple tyrosine residues on the receptors. These then serve as docking sites for the recruitment of SH2 (src homology-2) or PTB (phosphotyrosine binding) domains of adaptors, docking proteins or signaling enzymes. Signaling complexes are assembled and recruited to the active receptors resulting in a cascade of phosphorylation events.<br><br>This leads to stimulation of intracellular signaling pathways that control cell proliferation, cell differentiation, cell migration, cell survival and cell shape, depending on the cell type or stage of maturation.<br> View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5654736 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3336	Signaling by FGFR3		The 22 members of the fibroblast growth factor (FGF) family of growth factors mediate their cellular responses by binding to and activating the different isoforms encoded by the four receptor tyrosine kinases (RTKs) designated FGFR1, FGFR2, FGFR3 and FGFR4. These receptors are key regulators of several developmental processes in which cell fate and differentiation to various tissue lineages are determined. Unlike other growth factors, FGFs act in concert with heparin or heparan sulfate proteoglycan (HSPG) to activate FGFRs and to induce the pleiotropic responses that lead to the variety of cellular responses induced by this large family of growth factors. An alternative, FGF-independent, source of FGFR activation originates from the interaction with cell adhesion molecules, typically in the context of interactions on neural cell membranes and is crucial for neuronal survival and development.<br><br>Upon ligand binding, receptor dimers are formed and their intrinsic tyrosine kinase is activated causing phosphorylation of multiple tyrosine residues on the receptors. These then serve as docking sites for the recruitment of SH2 (src homology-2) or PTB (phosphotyrosine binding) domains of adaptors, docking proteins or signaling enzymes. Signaling complexes are assembled and recruited to the active receptors resulting in a cascade of phosphorylation events.<br><br>This leads to stimulation of intracellular signaling pathways that control cell proliferation, cell differentiation, cell migration, cell survival and cell shape, depending on the cell type or stage of maturation.<br> View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5654741 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3337	RHO GTPases activate KTN1		GTP-bound active forms of RHO GTPases RHOA, RHOG, RAC1 and CDC42 bind kinectin (KTN1), a protein inserted in endoplasmic reticulum membranes that interacts with the cargo-binding site of kinesin and activates its microtubule-stimulated ATPase activity required for vesicle motility (Vignal et al. 2001, Hotta et al. 1996). The effect of RHOG activity on cellular morphology, exhibited in the formation of microtubule-dependent cellular protrusions, depends both on RHOG interaction with KTN1, as well as on the kinesin activity (Vignal et al. 2001). RHOG and KTN1 also cooperate in microtubule-dependent lysosomal transport (Vignal et al. 2001). The precise mechanism of kinectin-mediated Rho GTPase signaling cascade needs further elucidation, and only the first two steps, KTN1-activated RHO GTPase binding, and KTN1-kinesin-1 binding are annotated here. View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5625970 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3338	Signaling by FGFR2		The 22 members of the fibroblast growth factor (FGF) family of growth factors mediate their cellular responses by binding to and activating the different isoforms encoded by the four receptor tyrosine kinases (RTKs) designated FGFR1, FGFR2, FGFR3 and FGFR4. These receptors are key regulators of several developmental processes in which cell fate and differentiation to various tissue lineages are determined. Unlike other growth factors, FGFs act in concert with heparin or heparan sulfate proteoglycan (HSPG) to activate FGFRs and to induce the pleiotropic responses that lead to the variety of cellular responses induced by this large family of growth factors. An alternative, FGF-independent, source of FGFR activation originates from the interaction with cell adhesion molecules, typically in the context of interactions on neural cell membranes and is crucial for neuronal survival and development.<br><br>Upon ligand binding, receptor dimers are formed and their intrinsic tyrosine kinase is activated causing phosphorylation of multiple tyrosine residues on the receptors. These then serve as docking sites for the recruitment of SH2 (src homology-2) or PTB (phosphotyrosine binding) domains of adaptors, docking proteins or signaling enzymes. Signaling complexes are assembled and recruited to the active receptors resulting in a cascade of phosphorylation events.<br><br>This leads to stimulation of intracellular signaling pathways that control cell proliferation, cell differentiation, cell migration, cell survival and cell shape, depending on the cell type or stage of maturation.<br> View original pathway at [http://www.reactome.org/PathwayBrowser/#DIAGRAM=5654738 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP3339	TCF dependent signaling in response to WNT		19 WNT ligands and 10 FZD receptors have been identified in human cells; interactions amongst these ligands and receptors vary in a developmental and tissue-specific manner and lead to activation of so-called 'canonical' and 'non-canonical' WNT signaling.  In the canonical WNT signaling pathway, binding of a WNT ligand to the Frizzled (FZD) and lipoprotein receptor-related protein (LRP) receptors results in the inactivation of the destruction complex, the stabilization and nuclear translocation of beta-catenin and subsequent activation of T-cell factor/lymphoid enhancing factor (TCF/LEF)-dependent transcription. Transcriptional activation in response to canonical WNT signaling controls processes such as cell fate, proliferation and self renewal of stem cells, as well as contributing to oncogenesis (reviewed in MacDonald et al, 2009; Saito-Diaz et al, 2013; Kim et al, 2013). View original pathway at:[http://www.reactome.org/PathwayBrowser/#DIAGRAM=201681 Reactome].		9606
WikiPathways	Pathway	WikiPathways:WP334	GPCRs, class B secretin-like		This pathway was created using the GPCRDB (Horn et al., 1998), http://www.gpcr.org/7tm/ (originally at http://www.cmbi.kun.nl/7tm/). The groupings are based on the GPCR phylogenetic tree available from the GPCRDB and the training sets used by Karchin et al. (Bioinformatics, 2002, pg. 147-159). The labels indicate children and grandchildren of the various classes of GPCRs as described by these references.		9606
